36,843.6381139511,849.5012676532,849.9300286709,841.576968462,842.0108955579,0.2649230957,0.6108093262,0.7732272678,-1.6345130072,4.2007191976,5.5656517877,0.0335980494,0.2672895789,0.9991022348,0.0358952433,-0.0962957939,0.2652844886,-0.1016100024,-0.1796047141,0.2032096187,1.4521031777,1.1174025933,0.4313201706,0.1042857294,0.6950907111,0.8476823965,0.2427096417,-0.4820218186,-0.412897716,-0.6698498726,-0.6362378796
39,843.5141358987,848.2149916429,853.4220909706,843.395318447,844.9140625,0.2650485569,0.6087612576,0.7739223904,-1.7977566189,4.0823364258,5.3567165799,-0.000222798,0.4954521258,0.9991022348,0.5321684182,-0.094422482,0.2335066597,-0.1053451275,-0.0592743407,0.1178066283,1.5565416813,1.2867475748,1.169525822,0.0771730617,0.8271866242,0.9728920062,0.9380636612,-0.5051538348,-0.4115793804,-0.6886636814,-0.5163360834
42,843.6897700383,850.1779886882,853.8560149364,842.9717305501,846.1641783103,0.2650892469,0.6090257433,0.773824056,-1.5398067898,4.04329088,5.5502827962,-0.000222798,0.5409345229,0.9991022348,0.5666366617,-0.094422482,0.182624956,-0.0837789526,0.1415998414,0.1178066283,1.6401580969,1.4342572689,1.4902979533,0.0771730617,0.9059477647,1.0685039361,1.2093786399,-0.5051538348,-0.3796979388,-0.6652075251,-0.1495507831
45,806.3308942746,823.1248239371,867.3748481946,815.5517977201,849.749228453,0.2644472476,0.6074817799,0.775777181,-1.6501589175,4.0323525888,5.3326246473,0.7380518317,0.5407298803,0.9907279014,0.5781024098,-0.0838301977,0.1598610679,-0.0834728926,0.2057647705,1.5707408985,1.6004523436,1.4167799155,1.3545575937,1.0922143857,0.8644071619,1.0189693372,1.0672851006,-0.5039652785,-0.3800335527,-0.6822829048,-0.1772947411
48,878.3727823893,863.1957366161,864.771294227,878.3779453375,843.5916200295,0.2642856174,0.6071675618,0.7739969889,-1.2519497342,4.2094421387,5.4206848144,0.75039651,0.5511629184,0.6135944625,0.585172077,-0.0606933062,0.1311271613,-0.1739059985,0.1790174842,1.3871614933,1.4199979702,1.2943238417,1.2318285703,0.9314374725,0.7777773341,0.8383765022,0.9606154561,-0.5754536589,-0.4254551331,-0.6993746559,-0.255623877
51,851.4177715595,856.5577142178,857.7148507925,849.449610001,853.7888621795,0.2630061397,0.6101469817,0.7737212005,-0.9804308856,4.2788102892,5.4749608923,0.7527616024,0.6514032682,0.48160549,0.5866646171,-0.0532689355,0.0889617577,-0.242160355,0.1758734286,1.3691613674,1.3600057761,1.3377410968,1.2189608812,0.914776504,0.7819732428,0.8584924141,0.9495476484,-0.5789279938,-0.4268008173,-0.6645921469,-0.2628301382
54,844.2683426295,844.7952473958,847.2386607635,843.9325624124,847.894708878,0.2606438531,0.6125759549,0.7718946669,-1.4367930095,4.3822394477,5.4460228814,0.7527616024,0.7510923743,0.5029609501,0.5062760214,-0.0532689355,0.0763410156,-0.2394586056,0.1861244291,1.3691613674,1.4273157914,1.3400382598,1.0683051944,0.914776504,0.6582774917,0.8392497301,0.785899361,-0.5789279938,-0.3817755878,-0.6469637553,-0.2585038741
57,845.420303736,849.8783663236,851.1543180026,845.2291760567,843.9428992638,0.2608201769,0.61034139,0.7731560601,-1.6926659478,4.0349833171,5.3745778402,0.5944147905,0.9748103619,0.348311315,0.3500776291,-0.0457523912,0.177937001,-0.2529667665,0.1875445296,0.76163432,1.5436208248,1.2185332775,0.4350636006,0.4731444021,0.8063665629,0.7397017876,0.307607616,-0.6812771956,-0.3223051329,-0.6391631365,-0.444409738
60,837.454680614,857.9524731758,849.7027345315,833.714664557,852.1719743777,0.2598198785,0.610599094,0.7737460666,-1.6324361166,4.2086113824,5.2815331353,0.4349642197,0.9877506495,0.8065094352,0.3149337967,-0.0174103559,0.2440858235,-0.1481724381,0.0690976977,0.6655277312,1.615704298,1.4051720699,0.5835006187,0.2913711269,0.9429257115,0.8778283,0.3600424926,-0.6867305636,-0.2802331646,-0.5631237229,-0.6118710836
63,851.7948741424,866.8789328551,850.0746710362,836.1529055865,847.0423615285,0.2576361762,0.610470242,0.7752109104,-2.0777214898,4.4561767578,4.4673919678,0.2819361389,0.9877506495,0.8065094352,0.2855172952,-0.046456101,0.2801720997,-0.04904051,-0.0135444045,1.0140567422,1.6329100927,1.446644187,1.0142155488,0.2837311029,0.9336200357,0.9197152058,0.4650386274,-0.6471920609,-0.2468308608,-0.5496001045,-0.6416860422
66,849.3927862705,845.8697243715,848.7728928786,848.8968717135,846.3191520495,0.2542792426,0.6082526313,0.7775980631,-1.8089718289,3.9062160916,5.3658548991,0.3220672607,0.9849569202,0.8060046236,0.3584677279,0.0061007398,0.3656833569,-0.0143127864,-0.0298983734,0.8950294256,1.6140886942,1.285957257,0.9103896618,0.2679015398,0.8905226191,0.7856487235,0.4248773456,-0.6812128425,-0.2060067306,-0.6168769797,-0.6917058229
69,835.7499733949,849.3617913662,847.2386584159,838.4878336589,848.0600124261,0.255122432,0.6074376989,0.7776647497,-1.6645586932,3.8576168484,5.4247001365,0.3220672607,0.9808315436,0.8049984177,0.3584677279,0.0061007398,0.3769821922,-0.034153179,-0.0298983734,0.8950294256,1.5902015368,1.1012155215,0.9103896618,0.2679015398,0.9538882574,0.5708419084,0.4248773456,-0.6812128425,-0.1573868791,-0.627169768,-0.6917058229
72,866.2951965332,836.6126622909,843.106039194,865.5616603753,849.7388947316,0.2570224338,0.6066351997,0.7781948513,-2.0278761122,3.8626013862,5.4813300239,0.3220672607,0.8739611308,0.8050001264,0.3584677279,0.0061007398,0.292569081,0.0149619734,-0.0298983734,0.8950294256,1.5795544386,1.1389434338,0.9103896618,0.2679015398,0.8882495363,0.5253821015,0.4248773456,-0.6812128425,-0.1540334324,-0.6160720786,-0.6917058229
75,878.9668477376,844.5214616824,850.4982620631,880.966003418,847.7242415991,0.2563307021,0.6045939128,0.7795681424,-1.6569434272,4.1782887777,5.4277462429,0.4758538753,0.7881453832,0.5125450988,0.2952745855,0.0208763975,0.2216421515,0.0167448378,-0.0441893544,0.7516663075,1.5387736559,0.9544157982,0.6390916805,0.3575124741,0.754965504,0.3642013073,0.3524291913,-0.70696793,-0.1705104162,-0.6524500847,-0.7251670956
78,838.1262300932,853.2206287873,851.4436011681,839.5468186599,848.7212383564,0.2565409342,0.6040378147,0.7806362576,-1.7686801486,3.9344618055,5.3787316216,1.2692123254,0.7754106919,0.4893764555,1.3061632315,0.1073924701,0.2184381336,0.0176616283,-0.0487972299,1.3871457577,1.5376592477,0.8831420342,1.2572293281,1.252929767,0.7656297088,0.2917890449,1.1615490318,-0.6152668794,-0.197830384,-0.6674982309,-0.4833389123
